,anion,anion_smiles,cation,cation_smiles
62,phenolate,C1=CC=C(C=C1)[O-],1-methyl-3-octylimidazolium,CCCCCCCCn1cc[n+](c1)C
63,tetrafluoroborate,[B-](F)(F)(F)F,1-methyl-3-octylimidazolium,CCCCCCCCn1cc[n+](c1)C
64,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-methyl-3-pentylimidazolium,c1c[n+](cn1CCCCC)C
65,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-methyl-3-pentylimidazolium,c1c[n+](cn1CCCCC)C
66,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-methyl-3-propylimidazolium,CCCn1cc[n+](c1)C
67,methylsulfate,COS(=O)(=O)[O-],1-methylpyridinium,C[n+]1ccccc1
68,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-nonyl-3-methylimidazolium,c1c[n+](cn1CCCCCCCCC)C
69,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-octyl-3-methylimidazolium,CCCCCCCCn1cc[n+](c1)C
70,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium,CCCCCCCCn1cc[n+](c1)C
71,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-octyl-3-methylimidazolium,CCCCCCCCn1cc[n+](c1)C
72,tetrafluoroborate,[B-](F)(F)(F)F,1-propylpyridinium,CCC[n+]1ccccc1
75,thiocyanate,C(#N)[S-],2-octylisoquinolinium,CCCCCCCC[n+]1ccc2ccccc2c1
77,dicyanoazanide,C(=[N-])=NC#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium,C[n+]1ccn(c1)CCO
78,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,3-cyano-1-hexylpyridinium,CCCCCC[n+]1cccc(C#N)c1
79,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,3-cyano-1-octylpyridinium,CCCCCCCC[n+]1cccc(c1)C#N
80,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium",CCCCCCCCCCCC[N+](CC)(CC)CC
81,2-aminoethanesulfonate,C(CS(=O)(=O)[O-])N,"N,N-dibutyl-N-methyl-1-butanaminium",CCCC[N+](C)(CCCC)CCCC
82,L-lysinate,C(CCN)C[C@@H](C(=O)[O-])N,"N,N-dibutyl-N-methyl-1-butanaminium",CCCC[N+](C)(CCCC)CCCC
83,L-threoninate,C[C@H]([C@@H](C(=O)[O-])N)O,"N,N-dibutyl-N-methyl-1-butanaminium",CCCC[N+](C)(CCCC)CCCC
84,L-serinate,C([C@@H](C(=O)[O-])N)O,"N,N-dibutyl-N-methylbutanaminium",CCCC[N+](C)(CCCC)CCCC
85,tetrafluoroborate,[B-](F)(F)(F)F,N-octyl-3-methylpyridinium,CCCCCCCC[n+]1cccc(c1)C
86,bis(trifluoromethylsulfonyl)imid,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"n-butyl-4-(n',n'-dimethylammonium)pyridinium",CCCC[n+]1ccc(N(C)C)c(c1)
