,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K",salt_name,"Heat capacity at constant pressure, J/K/mol","Viscosity, Pa&#8226;s"
106,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03249
107,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03246
108,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0365
109,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0341
110,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03429
111,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.032510000000000004
112,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0334
113,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0318
114,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0326
115,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03249
116,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03246
117,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0365
118,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0341
119,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03429
120,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.032510000000000004
121,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0334
122,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0318
123,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0326
124,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03249
125,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03246
126,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0365
127,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0341
