Molecular weight of IL  g/mol,Number of rings,Mass of group of rings  g/mol,Number of branches,Mass of first branch g/mol,Mass of second branch g/mol,Mass of third branch  g/mol,Mass of fourth branch  g/mol,Mass of cation  g/mol,Mass of anion  g/mol,Pressure   kPa,Temprature k,Density g/cm^3
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,10002.000,298.15,1.194090
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,29945.000,298.15,1.202670
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,39923.000,298.15,1.206790
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,49991.000,298.15,1.210830
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,60002.000,298.15,1.214720
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,79994.000,298.15,1.222140
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,90002.000,298.15,1.225680
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,99998.000,298.15,1.229100
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,2707.000,313.16,1.180630
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5339.000,313.17,1.181880
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,10173.000,313.17,1.184140
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,20303.000,313.16,1.188770
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,39937.000,313.17,1.197340
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,49943.000,313.16,1.201510
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,59740.000,313.15,1.205470
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,79710.000,313.17,1.213110
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,89952.000,313.16,1.216830
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,99473.000,313.16,1.220150
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,1547.000,333.13,1.166300
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5146.000,333.15,1.168120
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,9837.000,333.17,1.170460
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,19866.000,333.16,1.175350
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,39448.000,333.13,1.184410
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,49914.000,333.14,1.188990
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,60043.000,333.14,1.193260
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,79463.000,333.16,1.200960
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,89996.000,333.16,1.204890
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,99595.000,333.17,1.208300
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,2498.000,353.14,1.152850
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5035.000,353.14,1.154220
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,9690.000,353.14,1.156690
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,20367.000,353.14,1.162210
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,39870.000,353.14,1.171710
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,49991.000,353.14,1.176350
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,59133.000,353.13,1.180360
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,70001.000,353.14,1.184930
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,89993.000,353.15,1.192710
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,98529.000,353.16,1.195800
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,2866.000,373.14,1.138930
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5031.000,373.15,1.140170
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,9772.000,373.16,1.142850
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,20168.000,373.17,1.148550
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,40385.000,373.14,1.158910
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,49993.000,373.14,1.163500
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,59930.000,373.13,1.168030
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,79614.000,373.15,1.176310
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,90002.000,373.15,1.180330
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,99124.000,373.15,1.183640
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,2068.000,393.16,1.124130
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5306.000,393.16,1.126110
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,10459.000,393.15,1.129200
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,29942.000,393.16,1.140220
